id,ticker,texto,filtro_aceitou,relevante_humano,sentimento_humano
59,GOVE11,CONVOCAÇÃO DE ASSEMBLEIA PARA DELIBERAR SOBRE O PLANO DE CONCESSÃO DE AÇÕES E A INCORPORAÇÃO DA SOCIEDADE EDUCACIONAL CARVALHO GOMES LTDA. PELA SER EDUCACIONAL S.A.,1,,
60,REVE11,Eleição de Novo Conselheiro de Administração,0,,
61,REVE11,Fato Relevante 01/23 - Copel Conclui Aquisição dos Complexos Eólicos  Aventura e Santa Rosa &amp Mundo Novo,1,,
62,REVE11,Petrobras sobre Diretoria de Transição Energética e Sustentabilidade,1,,
63,GOVE11,Eleição da Nova Diretoria Estatutária,1,,
64,GOVE11,Consolidação do parque fabril||Reestruturação de seu Perfil de Financiamento,0,,
65,ISUS11,Ambipar e B3 Digitas unem forças para impulsionar a economia sustentável com tokens de crédito de carbono rastreáveis,1,,
66,GOVE11,Sucessão do Diretor Presidente da JSL,0,,
67,ISUS11,Apresentação Investor Day 2023 - Versão Inglês,0,,
68,BOVA11,Exclusão da poison pill prevista no art. 23 do estatuto social da Companhia||Recebimento de Oferta Publica Voluntária||Saída voluntária da Companhia do segmento de listagem Novo Mercado da B3,1,,
69,REVE11,Vale anuncia parceria estratégica para acelerar o crescimento do seu negócio de Metais para Transição Energética,1,,
70,BOVA11,Resposta ao Ofício B3 para enquadramento da cotação,1,,
71,BOVA11,CULMINAÇÃO DO PROCESSO DE CANCELAMENTO DE BDRs E VENDA DE AÇÕES COMUNS NA BOLSA DE VALORES DA COLÔMBIA,1,,
72,REVE11,Eneva Inicia a Operação Comercial do Complexo Solar Futura 1,1,,
73,ISUS11,Ambipar e a Dow ampliam aliança estratégica para impulsionar a transformação do mercado de reciclagem de materiais plásticos no Brasil,1,,
74,GOVE11,Aprovação do envio do pedido de cancelamento de registro de companhia aberta da Mercantil Financeira à CVM,0,,
75,GOVE11,Rolagem do contrato de SWAP de 4.500.000 ações de sua própria emissão,0,,
76,ISUS11,Renúncia aos cargos de Diretora Presidente e Diretora de Pessoas e Sustentabilidade,1,,
77,REVE11,Pedido de Cancelamento de Registro,0,,
78,REVE11,Transmissão na colômbia do relatório periódico trimestral,0,,
79,REVE11,Conselho aprova deslistagem da NYSE,0,,
80,REVE11,Vale informa início da oferta para aquisição facultativa de debêntures participativas pela Companhia,0,,
81,GOVE11,Nova Suspensão da Assembleia Geral de Credores,1,,
82,BOVA11,ADEQUAÇÃO DA POLÍTICA DE DIVIDENDOS E JUROS SOBRE O CAPITAL PRÓPRIO,1,,
83,GOVE11,Oferta Pública de Aquisição de Ações do Itaú Corpbanca,1,,
84,REVE11,Saída do Capital Social da Evolua Etanol,1,,
85,ISUS11,"Captação FINEP - Projeto: ""Fundição de Aço 4.0: Transformação digital, Manufatura avançada e Ações de sustentabilidade para a ampliação de presença internacional""",1,,
86,GOVE11,Alteração na Diretoria de Operações,1,,
87,ISUS11,1 - Aprovação pelas MSB de Goiás da prestação direta regionalizada pela Saneago e alinhamentos dos prazos de contratos de serviços de água e esgoto.,1,,
88,REVE11,Memorando de Entendimento assinado pelo Ministério das Comunicações e pela Telebras com o Governo Espanhol,0,,
89,ISUS11,Alienação de 100% da Ciclus Ambiental S.A,1,,
90,BOVA11,Deferimento do Processamento da Recuperação Judicial,0,,
91,GOVE11,Alteração da Composição Acionária da Companhia e Renúncia de Membros do Conselho de Administração,1,,
92,GOVE11,Resumo dos Resultados da Assembleia Geral Ordinária e Extraordinária de Acionistas de 2024,1,,
93,REVE11,Fechamento do Acordo de Associação Grupo SOMA e Arezzo&ampCo,0,,
94,REVE11,Aprovação da Segunda Fase de Etanol de Milho,1,,
95,ISUS11,Celebração de Contratos de Venda de Créditos de Carbono,1,,
96,ISUS11,Aprovação da 9ª emissão de debêntures simples,0,,
97,GOVE11,Adiamento Demonstrações Financeiras e Assembleia Geral Ordinária,1,,
98,BOVA11,Delistagem B3 (eng),1,,
99,GOVE11,2º aditivo acordo de acionistas,1,,
100,BOVA11,Pagamento de Juros Sobre Capital Próprio Referente ao 4° Trimestre de 2025,1,,
101,GOVE11,Suspensão dos Trabalhos da Assembleia Especial (Versão em Inglês),1,,
102,ISUS11,Enauta divulga produção de março de 2023,0,,
103,REVE11,Acordo de compra de projetos eólicos operacionais,1,,
104,ISUS11,Retificação da Nona Emissão de Debêntures,0,,
105,BOVA11,Aprovação de Juros sobre Capital Próprio,1,,
106,GOVE11,"Confirmada Relação de Troca estabelecida na Cláusula 3.1 do Protocolo e Justificação, considerando não ter havido qualquer ajuste nos termos da Cláusula 3.1.1 do Protocolo e Justificação||Consignação da verificação de todas as condições suspensivas para a consumação da incorporação das ações de emissão da BGS pela Companhia||Declarada eficazes as deliberações tomadas na assembleia geral extraordinária da Companhia realizada no dia 6 de abril de 2026||Homologação implementação da Incorporação de Ações, nos termos da Cláusula 7.3.1 do Protocolo e Justificação, declarando a sua efetiva consumação",1,,
107,GOVE11,Destituição e eleição de membro da Diretoria Executiva da Companhia.,1,,
108,REVE11,Composição acionária pós aumento de capital e contrapartidas de credores opção de reestruturação II,0,,
109,REVE11,Prorrogação de MoU,0,,
110,GOVE11,Celebração de Instrumento de Adiantamento para Futuro Aumento de Capital,0,,
111,BOVA11,Extensão do Waiver da B3,1,,
112,GOVE11,Aprovação de operação societária,0,,
113,BOVA11,Dissolução do conselho consultivo,0,,
114,ISUS11,Conclusão da alienação de 100% da Ciclus Ambiental S.A.,1,,
115,GOVE11,Eleição e Recondução da Diretoria Executiva,1,,
116,REVE11,Exercício parcial dos bônus pelos Acionistas de Referência,0,,
117,BOVA11,"Migração da Companhia para o Segmento Básico de listagem da B3 S.A. - Brasil, Bolsa, Balcão",1,,
118,GOVE11,Publicação da Certidão de Trânsito em Julgado do Termo de Autocomposição.,0,,
119,BOVA11,Dividendos/Juros sobre capital próprio,1,,
120,REVE11,Uso de energia renovável e geração distribuída compartilhada nas operações da Companhia.,1,,
